Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00000,="23:10:52,970",0x77E4388,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00001,="23:10:53,960",0x77E6AA0,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00002,="23:10:54,978",0x77E91A3,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00003,="23:10:55,968",0x77EB8A7,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00004,="23:10:56,959",0x77EDFAB,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00005,="23:10:57,979",0x77F06C2,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00006,="23:10:58,969",0x77F2DC6,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00007,="23:10:59,959",0x77F54C9,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00008,="23:11:00,979",0x77F7BCD,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00009,="23:11:01,969",0x77FA2E5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00010,="23:11:02,959",0x77FC9E8,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00011,="23:11:03,979",0x77FF0EC,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00012,="23:11:04,970",0x78017F0,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00013,="23:11:05,959",0x7803F07,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00014,="23:11:09,169",0x780BBE9,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00015,="23:11:10,189",0x780E351,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
